url,nom,prix,duree,taux_rentabilite,status
https://app.bricks.co/properties/c91f1656-ad81-467a-88e3-8a7162b6c5c5,Immeuble Alès,942000,10 ans,"8,25 % /an","8,25 % /an"
https://app.bricks.co/properties/801a4423-aa05-4048-a56e-af1dddd28257,Immeuble Capitaine Ferrand,1006800,10 ans,"8,63 % /an","8,63 % /an"
https://app.bricks.co/properties/a71b61ba-5a3e-49f0-8cfb-37c4f86471d9,Immeuble Nationale,953400,10 ans,"7,93 % /an","7,93 % /an"
https://app.bricks.co/properties/e97bfcb3-1c49-42fc-a01b-5133f143d038,Immeuble Diogo Leote,1320600,10 ans,"11,29 % /an","11,29 % /an"
https://app.bricks.co/properties/a3fc579e-07e7-48f6-9a03-54976fdffd8b,Commerce Niemen,870950,10 ans,"9,48 % /an","9,48 % /an"
https://app.bricks.co/properties/0fd1e7a3-b20d-43ee-8076-4d1fd6f79d45,Immeuble Long-Buisson,1518200,10 ans,"8,35 % /an","8,35 % /an"
https://app.bricks.co/properties/5b282c76-40eb-4923-a93f-cb94004e9355,Commerce Séville,1282000,10 ans,"10,29 % /an","10,29 % /an"
https://app.bricks.co/properties/4455e754-c9a3-4152-8c91-9194d5cab929,Immeuble Palavas,932500,10 ans,"7,82 % /an","7,82 % /an"
https://app.bricks.co/properties/8051226f-0ca5-407a-a27d-980a312c4fb9,Immeuble Charles Thomas I,1361100,10 ans,"8,82 % /an","8,82 % /an"
https://app.bricks.co/properties/52847e3a-80c6-4621-9fed-582030ecb082,Immeuble Lodève,501000,10 ans,"7,19 % /an","7,19 % /an"
https://app.bricks.co/properties/eb6f69af-ed25-45fb-ad9b-16c04c893244,Immeuble Roger Salengro,475500,10 ans,"7,40 % /an","7,40 % /an"
https://app.bricks.co/properties/8701fdd4-244f-4a4c-8d7a-cab99bef854b,Immeuble Gustave Staal,788200,10 ans,"7,25 % /an","7,25 % /an"
https://app.bricks.co/properties/81a8ac7d-4887-4a0f-b6e1-5991fe872ec2,Immeuble Belfort,1458500,10 ans,"8,17 % /an",En cours de revente 
https://app.bricks.co/properties/18af700c-1a6c-4112-86c2-c7d7a130b286,Immeuble Staedel,2741700,10 ans,"6,68 % /an","6,68 % /an"
https://app.bricks.co/properties/c03335c6-1145-4da1-bd14-8275309a2817,Immeuble Baraban,1406000,10 ans,"7,50 % /an","7,50 % /an"
https://app.bricks.co/properties/4da57f51-7645-49eb-8e2e-791278b41e54,Immeuble Pépinières,1589000,10 ans,"7,84 % /an","7,84 % /an"
https://app.bricks.co/properties/f9e057dd-b7c8-430c-b7ad-05001d0f5529,Immeuble Petit Ménadeau,932000,10 ans,"7,56 % /an","7,56 % /an"
https://app.bricks.co/properties/be1b19ab-bb31-43f7-8dc8-475ebe62b2a4,Immeuble du Sud,1965000,10 ans,"7,77 % /an","7,77 % /an"
https://app.bricks.co/properties/2a699818-fd0a-4ff0-a201-389e2e2a1ed6,Immeuble Félix Barth,1350500,10 ans,"6,89 % /an","6,89 % /an"
https://app.bricks.co/properties/86e6d176-6e31-446b-b38f-e173e0200880,Immeuble Général Simonneau,550000,10 ans,"7,90 % /an","7,90 % /an"
https://app.bricks.co/properties/f6a34700-69a8-4b02-b9ca-3964085c49d2,Immeuble Bienfaisance,3483000,10 ans,"6,08 % /an","6,08 % /an"
https://app.bricks.co/properties/c07ce93a-a7ae-4fbe-88ad-6d4610afbbb3,Immeuble Sainte-Foye,1412000,10 ans,"6,91 % /an","6,91 % /an"
https://app.bricks.co/properties/a5f295f8-e34a-4c27-9715-275247fd59f6,Immeuble Bas Verson,1101750,10 ans,"10,64 % /an",Revendu
https://app.bricks.co/properties/1c70f109-31c1-4a5c-8aa7-dcde41124652,Immeuble Basse Rue,669870,10 ans,"10,16 % /an",Revendu
https://app.bricks.co/properties/9dd8777e-20c3-4965-9e9c-3b0aaee27da2,Immeuble Côte Saint-Gilles,707740,10 ans,"11,20 % /an","11,20 % /an"
https://app.bricks.co/properties/bdbd1c0b-9f81-4357-af9b-59b2d41a5cf9,Immeuble Long Pot,631110,10 ans,"11,10 % /an","11,10 % /an"
https://app.bricks.co/properties/a3576f2b-9396-48fa-b84b-78186f72da47,Immeuble Maréchal Foch,476480,10 ans,"10,60 % /an","10,60 % /an"
https://app.bricks.co/properties/d773d318-c89f-48bd-8a0c-b5ee2c80560f,Immeuble Maurice Berteaux,655000,10 ans,"11,30 % /an","11,30 % /an"
https://app.bricks.co/properties/2de4cca7-01b0-4ba9-9fc5-8c002cfe66d7,Immeuble Gassicourt,307989,10 ans,"10,90 % /an","10,90 % /an"
https://app.bricks.co/properties/07d1bee9-3994-40c1-b7e1-ad4a5b56d8e3,Immeuble Mauléon,470282,10 ans,"11,81 % /an","11,81 % /an"
https://app.bricks.co/properties/4ef37924-43f1-466c-87ef-5f6dde1d8691,Immeuble Jaufre Rudel,475516,10 ans,"12,04 % /an","12,04 % /an"
https://app.bricks.co/properties/87833955-94ba-43fd-bb30-81fb343bfaa7,Immeuble Mas du Curé,713775,10 ans,"8,04 % /an","8,04 % /an"
https://app.bricks.co/properties/13d9b522-a1ae-4382-917b-8071d32cb3c6,Immeuble les Viviers,566500,10 ans,"12,15 % /an","12,15 % /an"
https://app.bricks.co/properties/f98b0478-5829-4e94-a027-ff3b581dd910,Immeuble Ancien marché à huile,255500,10 ans,"11,84 % /an","11,84 % /an"
https://app.bricks.co/properties/0b89ae67-2b38-4fad-9e9d-0fe5aa0b6474,Immeuble Docteur Lachapelle,363500,10 ans,"11,41 % /an","11,41 % /an"
https://app.bricks.co/properties/9fb1b633-90b2-4789-808a-f0a605015fa7,Immeuble Arnaud Peyre,380000,10 ans,"13,26 % /an","13,26 % /an"
https://app.bricks.co/properties/13d55786-de38-42e8-b955-c5b2cc449167,Immeuble Aristide Rouzière,165500,10 ans,"15,69 % /an","15,69 % /an"
https://app.bricks.co/properties/59584ea3-96ee-4ee8-a7a3-cadb186e15bb,Immeuble Jean Moulin,192000,10 ans,"15,10 % /an","15,10 % /an"
